data_base,ocupacao,vencido_acima_de_15_dias
2013-01-31,-,20941893048.96
2013-01-31,PF - Aposentado/pensionista,1554289462.84
2013-01-31,PF - Autônomo,2882347177.0
2013-01-31,PF - Empregado de empresa privada,3568390307.66
2013-01-31,PF - Empregado de entidades sem fins lucrativos,28803100.59
2013-01-31,PF - Empresário,4574358416.17
2013-01-31,PF - MEI,2439.85
2013-01-31,PF - Outros,19867290172.35
2013-01-31,PF - Servidor ou empregado público,4055016813.89
2013-02-28,-,21176508548.19
2013-02-28,PF - Aposentado/pensionista,1563880624.22
2013-02-28,PF - Autônomo,2876721431.23
2013-02-28,PF - Empregado de empresa privada,3585009749.95
2013-02-28,PF - Empregado de entidades sem fins lucrativos,28867020.79
2013-02-28,PF - Empresário,4520456780.71
2013-02-28,PF - MEI,2296.17
2013-02-28,PF - Outros,19874703067.33
2013-02-28,PF - Servidor ou empregado público,4267172513.47
2013-03-31,-,20889021693.35
2013-03-31,PF - Aposentado/pensionista,1653311044.71
2013-03-31,PF - Autônomo,3005040141.04
2013-03-31,PF - Empregado de empresa privada,3755651768.79
2013-03-31,PF - Empregado de entidades sem fins lucrativos,30472636.02
2013-03-31,PF - Empresário,4677258948.02
2013-03-31,PF - MEI,2232.1800000000003
2013-03-31,PF - Outros,20785704263.95
2013-03-31,PF - Servidor ou empregado público,4487445800.83
2013-04-30,-,21755924133.41
2013-04-30,PF - Aposentado/pensionista,1560086535.3700001
2013-04-30,PF - Autônomo,2866817217.88
2013-04-30,PF - Empregado de empresa privada,3619997323.78
2013-04-30,PF - Empregado de entidades sem fins lucrativos,28490329.29
2013-04-30,PF - Empresário,4478538428.38
2013-04-30,PF - MEI,2175.67
2013-04-30,PF - Outros,19971567179.15
2013-04-30,PF - Servidor ou empregado público,4241741770.29
2013-05-31,-,20902551337.8
2013-05-31,PF - Aposentado/pensionista,1516318415.24
2013-05-31,PF - Autônomo,2853330114.63
2013-05-31,PF - Empregado de empresa privada,3596622262.3
2013-05-31,PF - Empregado de entidades sem fins lucrativos,28046328.44
2013-05-31,PF - Empresário,4498211198.34
2013-05-31,PF - MEI,5437.54
2013-05-31,PF - Outros,19883125809.5
2013-05-31,PF - Servidor ou empregado público,4135751397.63
2013-06-30,-,20202330126.82
2013-06-30,PF - Aposentado/pensionista,1515919779.31
2013-06-30,PF - Autônomo,2802344051.14
2013-06-30,PF - Empregado de empresa privada,3537765307.11
2013-06-30,PF - Empregado de entidades sem fins lucrativos,28748759.11
2013-06-30,PF - Empresário,4373817113.33
2013-06-30,PF - MEI,6207.9
2013-06-30,PF - Outros,20011007165.38
2013-06-30,PF - Servidor ou empregado público,4265048676.65
2013-07-31,-,20793790126.33
2013-07-31,PF - Aposentado/pensionista,1518526087.91
2013-07-31,PF - Autônomo,2827156523.96
2013-07-31,PF - Empregado de empresa privada,3507745223.68
2013-07-31,PF - Empregado de entidades sem fins lucrativos,28095880.75
2013-07-31,PF - Empresário,4400908351.57
2013-07-31,PF - MEI,5933.76
2013-07-31,PF - Outros,20233755815.69
2013-07-31,PF - Servidor ou empregado público,4223865114.58
2013-08-31,-,20395317397.89
2013-08-31,PF - Aposentado/pensionista,1525449369.92
2013-08-31,PF - Autônomo,2776079925.11
2013-08-31,PF - Empregado de empresa privada,3459685370.7
2013-08-31,PF - Empregado de entidades sem fins lucrativos,28432112.99
2013-08-31,PF - Empresário,4329260256.44
2013-08-31,PF - MEI,3919.79
2013-08-31,PF - Outros,20161038825.75
2013-08-31,PF - Servidor ou empregado público,4239362492.9
2013-09-30,-,20129592517.68
2013-09-30,PF - Aposentado/pensionista,1528824624.08
2013-09-30,PF - Autônomo,2770544615.42
2013-09-30,PF - Empregado de empresa privada,3461065563.92
2013-09-30,PF - Empregado de entidades sem fins lucrativos,29007055.05
2013-09-30,PF - Empresário,4295501090.5
2013-09-30,PF - MEI,4664.66
2013-09-30,PF - Outros,20558348309.63
2013-09-30,PF - Servidor ou empregado público,4486896835.78
2013-10-31,-,21605496260.63
2013-10-31,PF - Aposentado/pensionista,1524902839.45
2013-10-31,PF - Autônomo,2745315628.75
2013-10-31,PF - Empregado de empresa privada,3439859741.53
2013-10-31,PF - Empregado de entidades sem fins lucrativos,28007322.25
2013-10-31,PF - Empresário,4236302317.53
2013-10-31,PF - MEI,3832.66
2013-10-31,PF - Outros,20505391104.72
2013-10-31,PF - Servidor ou empregado público,4192600529.05
2013-11-30,-,20220047076.98
2013-11-30,PF - Aposentado/pensionista,1534276344.35
2013-11-30,PF - Autônomo,2721716668.15
2013-11-30,PF - Empregado de empresa privada,3405194845.02
2013-11-30,PF - Empregado de entidades sem fins lucrativos,26982778.16
2013-11-30,PF - Empresário,4205341059.14
2013-11-30,PF - MEI,4929.95
2013-11-30,PF - Outros,20437108979.19
2013-11-30,PF - Servidor ou empregado público,4205149371.0
2013-12-31,-,20796923715.76
2013-12-31,PF - Aposentado/pensionista,1538543236.68
2013-12-31,PF - Autônomo,2754360638.63
2013-12-31,PF - Empregado de empresa privada,3356877592.89
2013-12-31,PF - Empregado de entidades sem fins lucrativos,27430839.91
2013-12-31,PF - Empresário,4225969425.73
2013-12-31,PF - MEI,12919.75
2013-12-31,PF - Outros,20844150662.84
2013-12-31,PF - Servidor ou empregado público,4467406587.69
